image,expected_people,found_people,avg_confidence,raw_matches,total_faces_kept,time
archisman.JPG,archisman,Archisman,62.0%,Archisman:62.5%,1,0.4035
negative_empty.JPG,negative_empty,,,,0,0.2036
negative_empty_1.JPG,negative_empty,,,,0,0.2323
negative_empty_2.JPG,negative_empty,,,,0,0.1897
negative_empty_3.JPG,negative_empty,,,"Soumyartho:21.5%, Snehil:14.5%, Snehil:13.4%, Archisman:9.3%, Soumyartho:5.7%",5,1.2837
snehil.jpg,snehil,Snehil,82.0%,"Snehil:82.5%, Snehil:21.6%, Snehil:20.7%, Snehil:20.6%, Soumyartho:18.6%, Archisman:17.9%, Soumyartho:17.4%, Subhayan:16.6%, Archisman:16.2%, Soumyartho:15.9%, Snehil:10.6%",11,2.9958
snehil_1.JPG,snehil,Snehil,90.0%,"Snehil:90.6%, Snehil:25.2%",2,0.826
snehil_2.JPG,snehil,Snehil,85.0%,"Snehil:85.9%, Soumyartho:16.2%, Subhayan:14.4%, Soumyartho:10.3%, Soumyartho:7.0%, Subhayan:6.9%, Archisman:3.7%",7,2.1893
snehil_3.JPG,snehil,Snehil,87.0%,"Snehil:87.4%, Snehil:29.1%, Subhayan:23.9%",3,0.9135
snehil_4.JPG,snehil,Snehil,81.0%,"Snehil:81.1%, Archisman:14.6%",2,0.7087
snehil_5.jpg,snehil,Snehil,75.0%,"Snehil:75.1%, Soumyartho:23.9%, Soumyartho:18.7%, Snehil:18.5%, Subhayan:15.3%",5,1.5752
snehil_archisman_soumyartho.JPG,snehil_archisman_soumyartho,"Soumyartho, Snehil, Archisman",84.3%,"Soumyartho:93.5%, Snehil:81.7%, Archisman:79.4%, Snehil:25.6%, Archisman:15.6%",5,1.4006
snehil_subhayan.JPG,snehil_subhayan,"Snehil, Subhayan",76.5%,"Snehil:81.4%, Subhayan:72.6%, Soumyartho:26.7%, Soumyartho:20.0%, Soumyartho:19.5%, Snehil:19.3%, Archisman:12.8%, Archisman:11.7%",8,2.1266
snehil_subhayan_1.JPG,snehil_subhayan,"Snehil, Subhayan",80.0%,"Snehil:85.6%, Subhayan:75.2%, Soumyartho:23.5%, Soumyartho:21.4%, Subhayan:20.2%, Snehil:18.9%, Subhayan:13.4%, Snehil:7.9%",8,2.1522
snehil_subhayan_2.JPG,snehil_subhayan,"Snehil, Subhayan",81.0%,"Snehil:84.3%, Subhayan:78.1%, Soumyartho:23.8%, Archisman:23.1%, Soumyartho:21.7%, Subhayan:21.2%, Snehil:18.3%, Soumyartho:18.0%, Soumyartho:17.1%, Archisman:11.2%",10,3.0333
snehil_subhayan_3.jpg,snehil_subhayan,"Subhayan, Snehil",69.0%,"Subhayan:70.9%, Snehil:68.1%, Soumyartho:30.0%, Snehil:23.9%, Subhayan:22.3%, Snehil:19.1%, Subhayan:15.5%, Soumyartho:11.8%, Subhayan:11.5%, Snehil:10.2%, Soumyartho:8.3%, Subhayan:6.1%",12,3.4568
snehil_subhayan_4.jpg,snehil_subhayan,"Snehil, Subhayan",77.0%,"Snehil:79.4%, Subhayan:75.3%, Snehil:27.3%, Snehil:24.1%, Archisman:22.5%, Subhayan:22.0%, Snehil:18.0%, Archisman:17.8%",8,2.2798
snehil_subhayan_5.jpg,snehil_subhayan,"Snehil, Subhayan",70.0%,"Snehil:80.5%, Subhayan:60.2%, Archisman:28.1%, Soumyartho:22.2%, Soumyartho:19.2%, Archisman:13.8%, Archisman:6.9%",7,1.9258
snehil_subhayan_6.jpg,snehil_subhayan,"Snehil, Subhayan",75.5%,"Snehil:80.3%, Subhayan:71.2%, Soumyartho:23.7%, Subhayan:22.6%, Subhayan:21.9%, Soumyartho:20.9%, Snehil:18.1%, Soumyartho:9.1%, Snehil:6.4%, Archisman:6.0%",10,2.796
soumyartho.JPG,soumyartho,Soumyartho,76.0%,Soumyartho:76.9%,1,0.4995
